Platform,Ad Type,Audience,Buying Audience,Size
Snap,Skippable,Marvel Fans,Sci-Fi & Fantasy Fans,2400000
Snap,Skippable,Star Wars Fans,Sci-Fi & Fantasy Fans,2400000
Snap,Skippable,General Streamers,Film & TV Fans,13700000
Snap,Skippable,Parents,Parents & Family-Focused,2400000
Meta,Skippable,Marvel Fans,Marvel Studios; Marvel Entertainment,11800000
Meta,Skippable,Star Wars Fans,Star Wars (franchise),14000000
Meta,Skippable,General Streamers,Films; TV,32600000
Meta,Skippable,Parents,Family; Parent; Married with children,24200000
TikTok,Skippable,Marvel Fans,Sci-Fi & Fantasy Fans,4432000
TikTok,Skippable,Star Wars Fans,Sci-Fi & Fantasy Fans,4432000
TikTok,Skippable,General Streamers,TV & Movie Fans,10963000
TikTok,Skippable,Parents,"Baby, Kids, Maternity; Parenting",9518000
Twitter,Skippable,Marvel Fans,Marvel,2300000
Twitter,Skippable,Star Wars Fans,Star Wars,1200000
Twitter,Skippable,General Streamers,"Film, TV, movie, films",8200000
Twitter,Skippable,Parents,"Parents, family, mothers, mother, parent, kids",11100000
YouTube,Skippable,Marvel Fans,Sci-Fi & Fantasy Fans,18300000
YouTube,Skippable,Star Wars Fans,Sci-Fi & Fantasy Fans,18300000
YouTube,Skippable,General Streamers,TV & Movie Fans,41500000
YouTube,Skippable,Parents,Parents Status,21900000
YouTube,Non-Skip,Marvel Fans,Sci-Fi & Fantasy Fans,16600000
YouTube,Non-Skip,Star Wars Fans,Sci-Fi & Fantasy Fans,16600000
YouTube,Non-Skip,General Streamers,TV & Movie Fans,37800000
YouTube,Non-Skip,Parents,Parents Status,17500000
